Title,Year_of_Release,Duration,Genre,Points_Rating,Meta_score,Director,Actors,Votes,Gross
Il pianista,2002,150 min,"
Biography, Drama, Music            ",T,85        ,"
Roman Polanski
","['', 'Adrien Brody ', 'Thomas Kretschmann ', 'Frank Finlay ', 'Emilia Fox', '']","
738,894
","
$32.57M
"
Amores perros,2000,154 min,"
Drama, Thriller            ",VM14,83        ,"
Alejandro G. Iñárritu
","['', 'Emilio Echevarría ', 'Gael García Bernal ', 'Goya Toledo ', 'Álvaro Guerrero', '']","
225,376
","
$5.38M
"
Novecento,1976,317 min,"
Drama, History            ",VM14,,,,,
Qualcuno volò sul nido del cuculo,1975,133 min,"
Drama            ",VM14,83        ,"
Milos Forman
","['', 'Jack Nicholson ', 'Louise Fletcher ', 'Michael Berryman ', 'Peter Brocco', '']","
925,866
","
$112.00M
"
Gran Torino,2008,116 min,"
Drama            ",T,72        ,"
Clint Eastwood
","['', 'Clint Eastwood ', 'Bee Vang ', 'Christopher Carley ', 'Ahney Her', '']","
725,305
","
$148.10M
"
Forrest Gump,1994,142 min,"
Drama, Romance            ",T,82        ,"
Robert Zemeckis
","['', 'Tom Hanks ', 'Robin Wright ', 'Gary Sinise ', 'Sally Field', '']","
1,829,899
","
$330.25M
"
American Beauty,1999,122 min,"
Drama            ",VM14,84        ,"
Sam Mendes
","['', 'Kevin Spacey ', 'Annette Bening ', 'Thora Birch ', 'Wes Bentley', '']","
1,077,327
","
$130.10M
"
Shining,1980,146 min,"
Drama, Horror            ",VM14,66        ,"
Stanley Kubrick
","['', 'Jack Nicholson ', 'Shelley Duvall ', 'Danny Lloyd ', 'Scatman Crothers', '']","
907,704
","
$44.02M
"
Papillon,1973,151 min,"
Biography, Crime, Drama            ",T,58        ,"
Franklin J. Schaffner
","['', 'Steve McQueen ', 'Dustin Hoffman ', 'Victor Jory ', 'Don Gordon', '']","
122,403
","
$53.27M
"
Eyes Wide Shut,1999,159 min,"
Drama, Mystery, Thriller            ",VM14,68        ,"
Stanley Kubrick
","['', 'Tom Cruise ', 'Nicole Kidman ', 'Todd Field ', 'Sydney Pollack', '']","
306,604
","
$55.69M
"
Il caso Spotlight,I) (2015,129 min,"
Biography, Crime, Drama            ",VM14,93        ,"
Tom McCarthy
","['', 'Mark Ruffalo ', 'Michael Keaton ', 'Rachel McAdams ', 'Liev Schreiber', '']","
425,464
","
$45.06M
"
Scarface,1983,170 min,"
Crime, Drama            ",VM14,65        ,"
Brian De Palma
","['', 'Al Pacino ', 'Michelle Pfeiffer ', 'Steven Bauer ', 'Mary Elizabeth Mastrantonio', '']","
749,497
","
$45.60M
"
Balla coi lupi,1990,181 min,"
Adventure, Drama, Western            ",T,72        ,"
Kevin Costner
","['', 'Kevin Costner ', 'Mary McDonnell ', 'Graham Greene ', 'Rodney A. Grant', '']","
242,704
","
$184.21M
"
Chinatown,1974,130 min,"
Drama, Mystery, Thriller            ",T,92        ,"
Roman Polanski
","['', 'Jack Nicholson ', 'Faye Dunaway ', 'John Huston ', 'Perry Lopez', '']","
297,242
","
$8.49M
"
Gangs of New York,2002,167 min,"
Crime, Drama            ",T,72        ,"
Martin Scorsese
","['', 'Leonardo DiCaprio ', 'Cameron Diaz ', 'Daniel Day-Lewis ', 'Jim Broadbent', '']","
409,358
","
$77.81M
"
Il petroliere,2007,158 min,"
Drama            ",T,93        ,"
Paul Thomas Anderson
","['', 'Daniel Day-Lewis ', 'Paul Dano ', 'Ciarán Hinds ', 'Martin Stringer', '']","
523,514
","
$40.22M
"
Revenant - Redivivo,2015,156 min,"
Action, Adventure, Drama            ",T,76        ,"
Alejandro G. Iñárritu
","['', 'Leonardo DiCaprio ', 'Tom Hardy ', 'Will Poulter ', 'Domhnall Gleeson', '']","
713,610
","
$183.64M
"
